area,rooms,is_new,property_id,garages,stratum,property_type,baths,price,neighbourhood,city
56.0,3,False,0d8c6af8-21c2-4e08-979a-506db2fe7026,Sin especificar,Estrato 4,Apartamento,2,290000000.0,CALAZANZ,Medellín
79.0,3,False,952f7a0e-749c-4c1e-a8cf-9b3b13b23500,1,Estrato 4,Apartamento,2,385000000.0,CALAZANZ,Medellín
98.0,3,False,0a5052dd-6d25-45da-9714-2e72e67f55a3,1,Estrato 5,Apartamento,2,540000000.0,Belén,Medellín
48.0,2,False,934829ef-9ad1-41d4-a2ba-c2d865be419e,Sin especificar,Estrato 3,Apartamento,2,180000000.0,La Castellana,Medellín
72.0,3,False,9202fc55-cb30-46a4-be02-3085a57a3686,1,Estrato 4,Apartamento,2,310000000.0,ITAGUI,Medellín
70.0,3,False,c063e454-1761-4ff1-9bc5-6f59fcd01478,1,Estrato 3,Apartamento,2,270000000.0,Belén,Medellín
95.0,3,False,c7acdab9-18ea-4156-81c5-abb17d28c78a,Sin especificar,Estrato 4,Apartamento,2,330000000.0,La Pilarica,Medellín
83.0,2,False,ed1b1ddb-1ded-4b01-8b70-7a4cbe097eb8,1,Estrato 5,Apartamento,2,410000000.0,La Pilarica,Medellín
78.0,3,False,7971817e-7ff9-465b-a31b-c55a1400ef62,Sin especificar,Estrato 3,Apartamento,2,270000000.0,La Pilarica,Medellín
52.0,3,False,1bdb4595-6742-4433-859a-159d49b52507,1,Estrato 4,Apartamento,2,290000000.0,Loma del Indio,Medellín
43.0,2,False,e3dec7ef-ade3-4c21-954f-0204f10001af,Sin especificar,Estrato 3,Apartamento,1,155000000.0,Robledo,Medellín
105.0,3,False,5676980e-9a60-4fe3-b0da-421478cb514b,Sin especificar,Estrato 3,Apartamento,2,270000000.0,Alfonso Lopez,Medellín
94.0,3,False,c813a9e7-8e02-4939-841d-7d92264eade8,1,Estrato 6,Apartamento,3,465000000.0,El Poblado,Medellín
386.0,3,False,8d38c3d4-a280-46f8-8b6a-92295afecf20,5,Estrato 6,Apartamento,4,1500000000.0,El Poblado,Medellín
200.0,3,False,58ed0ed3-ea57-4877-9869-4b0116f612fb,2,Estrato 6,Apartamento,3,1190000000.0,Los Balsos,Medellín
80.0,3,False,c0df913a-b82b-40d7-85ae-a49d02bad25d,Sin especificar,Estrato 3,Apartamento,2,370000000.0,Belén San Bernardo,Medellín
69.0,3,False,aac799b4-1ed5-4183-a337-9994dec980d9,Sin especificar,Estrato 3,Apartamento,1,189000000.0,Campo valdes no.1,Medellín
68.0,3,False,771e1a1b-04eb-4585-bd92-0e752c55890e,1,Estrato 4,Apartamento,2,390000000.0,San german,Medellín
53.0,3,False,7b93c0a8-8753-49a2-b7c1-5cc064fc7ee7,Sin especificar,Estrato 3,Apartamento,2,175000000.0,Urbanizacion doña maria robledo,Medellín
65.0,2,False,8c1be129-f155-4f45-bbb5-7bc143a7797d,1,Estrato 4,Apartamento,2,320000000.0,Suramerica,Itaguí
80.0,3,False,a18b90a9-7954-4863-b661-7a0afdc67836,1,Estrato 4,Apartamento,2,332000000.0,La cabaña,Bello
45.0,2,False,b20db202-44b6-44a1-b0f4-25d8a7e4c3d6,1,Estrato 3,Apartamento,2,230000000.0,El porvenir,Itaguí
